,Faculty,Course,A,A-,B,B-,C,C-,D,W,F,Popularity_score,Difficulty_score,Difficulty_Level
0,Ази судлалын тэнхим,"Азийн улс орнуудын нийгэм, эдийн засаг",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0
1,Ази судлалын тэнхим,Англи хэлний нэр томъёоны орчуулга,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.75,0
2,Ази судлалын тэнхим,Англи хэлний уран зохиолын орчуулга,5.0,6.0,0.5,1.0,1.5,1.0,1.5,2.0,2.0,20.5,3.864864864864865,1
3,Ази судлалын тэнхим,"Англи хэлний хууль, эрх зүйн орчуулга",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0
4,Ази судлалын тэнхим,"Англи хэлний эдийн засаг, бизнесийн орчуулга",4.0,5.333333333333333,9.0,1.3333333333333333,4.0,0.0,0.6666666666666666,2.0,2.6666666666666665,29.0,3.89873417721519,1
5,Ази судлалын тэнхим,Анхан шатны солонгос хэлний унших бичих ,13.0,11.0,5.5,10.0,2.0,3.5,6.5,1.5,4.0,57.0,3.8632075471698113,1
6,Ази судлалын тэнхим,Анхан шатны солонгос хэлний унших бичих дадал,22.0,7.25,5.5,2.5,0.25,1.0,0.75,4.0,0.5,43.75,4.222543352601156,1
7,Ази судлалын тэнхим,Анхан шатны солонгос хэлний хэл зүй ,21.5,11.0,5.25,2.0,0.25,2.5,1.75,8.25,2.5,55.0,3.9285714285714284,1
8,Ази судлалын тэнхим,Анхан шатны солонгос хэлний хэл зүйн дүрэм ,10.0,7.0,6.0,6.5,0.5,4.0,4.0,2.5,8.5,49.0,3.919753086419753,1
9,Ази судлалын тэнхим,Анхан шатны солонгос хэлний ярих сонсох ,13.0,12.5,7.5,8.0,3.5,3.0,3.5,3.0,3.0,57.0,3.8935185185185186,1
10,Ази судлалын тэнхим,Анхан шатны солонгос хэлний ярих сонсох дадал,23.0,7.5,8.75,3.25,5.0,0.75,0.75,4.75,0.5,54.25,4.069767441860465,1
11,Ази судлалын тэнхим,Анхан шатны солонгос хэлний үгийн сан,15.5,10.833333333333334,8.333333333333334,3.5,3.6666666666666665,2.0,2.0,2.1666666666666665,2.3333333333333335,50.333333333333336,4.090277777777778,1
12,Ази судлалын тэнхим,Анхан шатны хятад хэлний унших бичих дадал 1,9.5,7.833333333333333,7.166666666666667,6.333333333333333,6.833333333333333,5.666666666666667,11.166666666666666,6.5,5.0,66.0,3.312841530054645,2
13,Ази судлалын тэнхим,Анхан шатны хятад хэлний унших бичих дадал 2,11.666666666666666,7.833333333333333,5.5,6.333333333333333,7.166666666666667,7.333333333333333,9.5,5.666666666666667,5.833333333333333,66.83333333333333,3.41120218579235,1
14,Ази судлалын тэнхим,Анхан шатны хятад хэлний ярих сонсох дадал ,22.833333333333332,15.833333333333334,11.0,5.833333333333333,2.6666666666666665,2.3333333333333335,3.1666666666666665,2.6666666666666665,4.166666666666667,70.5,4.173366834170854,1
15,Ази судлалын тэнхим,Анхан шатны япон хэлний унших бичих дадал ,7.333333333333333,6.5,4.0,4.5,4.333333333333333,5.166666666666667,7.833333333333333,10.166666666666666,7.833333333333333,57.666666666666664,3.15551839464883,2
16,Ази судлалын тэнхим,Анхан шатны япон хэлний хэл зүй ,7.75,2.25,4.0,4.75,3.25,5.0,4.75,12.5,7.5,51.75,3.0112994350282487,2
17,Ази судлалын тэнхим,Анхан шатны япон хэлний хэлзүй ,8.5,5.0,5.0,7.0,1.5,6.5,11.0,8.0,9.0,61.5,3.223809523809524,2
18,Ази судлалын тэнхим,Анхан шатны япон хэлний ярих сонсох дадал  ,8.666666666666666,5.833333333333333,5.0,5.0,2.0,2.3333333333333335,7.666666666666667,8.333333333333334,9.666666666666666,54.5,3.3959107806691446,1
19,Ази судлалын тэнхим,Араб перс хэлээрх Түрэгийн уран зохиол,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.625,0
20,Ази судлалын тэнхим,Араб хэл (Ерөнхий суурь),8.4,1.8,0.1,0.1,0.3,0.1,0.0,0.0,0.0,10.8,4.814814814814815,0
21,Ази судлалын тэнхим,Араб хэл 1,11.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,4.918181818181818,0
22,Ази судлалын тэнхим,Араб хэл 2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0
23,Ази судлалын тэнхим,Араб хэл 3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0
24,Ази судлалын тэнхим,Ахисан түвшний солонгос хэл,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0
25,Ази судлалын тэнхим,Ахисан түвшний япон хэл,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0
26,Ази судлалын тэнхим,БНСУ-ын нийгэм соёл,1.5,3.0,4.5,5.5,0.0,0.5,0.0,0.5,1.0,16.5,3.935483870967742,1
27,Ази судлалын тэнхим,БНСУ-ын соёлын гадаад бодлого,1.2,3.4,1.8,4.4,0.4,0.2,0.4,0.4,0.4,12.6,3.868852459016393,1
28,Ази судлалын тэнхим,БНСУ-ын түүх ,2.0,1.0,2.0,4.0,2.5,1.0,2.0,1.0,0.5,16.0,3.3548387096774195,2
29,Ази судлалын тэнхим,"БНСУ-ын улс төр, гадаад харилцаа",0.42857142857142855,2.857142857142857,3.7142857142857144,3.0,1.2857142857142858,1.2857142857142858,0.0,0.8571428571428571,0.2857142857142857,13.714285714285714,3.6170212765957444,1
30,Ази судлалын тэнхим,БНСУ-ын уран зохиолын удиртгал,1.0,2.0,2.5,3.0,3.5,1.5,0.5,0.0,2.0,16.0,3.6964285714285716,1
31,Ази судлалын тэнхим,БНСУ-ын эдийн засгийн газар зүй,1.0,1.5,1.5,4.5,2.5,1.0,4.0,2.5,2.0,20.5,3.027027027027027,2
32,Ази судлалын тэнхим,Бизнесийн хятад хэл,6.833333333333333,1.0,0.5,1.8333333333333333,2.1666666666666665,1.1666666666666667,1.5,1.5,0.6666666666666666,17.166666666666668,3.737373737373737,1
33,Ази судлалын тэнхим,Бүс нутаг судлал (Зүүн Хойд Ази судлал),0.75,4.5,6.0,2.75,3.25,3.0,1.5,2.25,0.25,24.25,3.3489583333333335,2
34,Ази судлалын тэнхим,Дискурс судлал,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0
35,Ази судлалын тэнхим,Дунд шатны солонгос хэлний унших бичих 1,7.5,7.5,6.5,4.5,5.5,3.5,3.0,1.5,1.5,41.0,3.7278481012658227,1
36,Ази судлалын тэнхим,Дунд шатны солонгос хэлний унших бичих 2,4.0,6.0,3.5,3.5,0.5,3.5,5.0,0.5,5.0,31.5,3.7358490566037736,1
37,Ази судлалын тэнхим,Дунд шатны солонгос хэлний унших бичих дадал 1,8.5,10.0,2.0,3.5,2.5,0.0,2.0,4.5,0.0,33.0,3.75,1
38,Ази судлалын тэнхим,Дунд шатны солонгос хэлний унших бичих дадал 2,8.5,0.5,2.25,3.5,3.0,2.5,1.25,3.5,5.5,30.5,3.71,1
39,Ази судлалын тэнхим,Дунд шатны солонгос хэлний ханз 1,8.0,5.0,3.0,2.75,3.0,1.75,5.25,4.75,3.5,37.0,3.470149253731343,1
40,Ази судлалын тэнхим,Дунд шатны солонгос хэлний ханз 2,4.5,1.8333333333333333,4.0,4.5,2.5,3.6666666666666665,2.8333333333333335,1.5,0.16666666666666666,25.5,3.414473684210527,1
41,Ази судлалын тэнхим,Дунд шатны солонгос хэлний хэл зүй 1,13.5,10.0,3.5,2.0,1.5,0.0,0.0,6.5,0.0,37.0,3.9054054054054053,1
42,Ази судлалын тэнхим,Дунд шатны солонгос хэлний хэл зүй 2,5.0,4.75,3.0,1.75,2.75,0.5,1.5,0.75,0.5,20.5,3.9125,1
43,Ази судлалын тэнхим,Дунд шатны солонгос хэлний хэл зүйн дүрэм 1,7.5,7.0,4.5,7.5,1.0,6.5,4.0,2.5,2.5,43.0,3.5925925925925926,1
44,Ази судлалын тэнхим,Дунд шатны солонгос хэлний хэл зүйн дүрэм 2,3.0,6.0,1.5,5.5,3.0,2.5,8.0,0.5,2.5,32.5,3.3833333333333333,1
45,Ази судлалын тэнхим,Дунд шатны солонгос хэлний ярих сонсох 1,10.0,8.5,3.5,6.0,3.5,3.0,3.0,3.0,1.0,41.5,3.734567901234568,1
46,Ази судлалын тэнхим,Дунд шатны солонгос хэлний ярих сонсох 2,2.0,7.5,3.5,3.0,1.0,2.5,3.0,2.5,5.5,30.5,3.66,1
47,Ази судлалын тэнхим,Дунд шатны солонгос хэлний ярих сонсох дадал 1,23.0,7.5,2.5,1.5,0.5,0.0,0.5,2.0,0.0,37.5,4.493333333333333,0
48,Ази судлалын тэнхим,Дунд шатны солонгос хэлний ярих сонсох дадал 2,6.5,4.75,7.5,3.0,4.0,1.25,0.0,2.5,1.0,30.5,3.830508474576271,1
49,Ази судлалын тэнхим,Дунд шатны хятад хэлний унших бичих дадал 1,17.0,11.5,3.5,7.0,2.5,3.0,3.75,4.5,3.5,56.25,3.9004739336492893,1
50,Ази судлалын тэнхим,Дунд шатны хятад хэлний унших бичих дадал 2,10.5,5.166666666666667,4.5,1.3333333333333333,0.8333333333333334,0.16666666666666666,1.5,0.5,1.3333333333333333,25.833333333333332,4.333333333333334,0
51,Ази судлалын тэнхим,Дунд шатны хятад хэлний унших бичих дадал 3,5.25,7.5,3.25,4.25,2.5,3.5,3.25,5.75,0.75,36.0,3.3226950354609928,2
52,Ази судлалын тэнхим,Дунд шатны хятад хэлний унших бичих дадал 4,3.0,2.0,1.0,0.0,1.5,0.0,1.0,3.5,0.0,12.0,3.1666666666666665,2
53,Ази судлалын тэнхим,Дунд шатны хятад хэлний ярих сонсох дадал 1,15.5,10.5,6.0,2.5,0.75,1.0,3.25,3.5,1.75,44.75,4.046511627906977,1
54,Ази судлалын тэнхим,Дунд шатны хятад хэлний ярих сонсох дадал 2,12.666666666666666,13.666666666666666,2.5,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,1.1666666666666667,33.0,4.56544502617801,0
55,Ази судлалын тэнхим,Дунд шатны япон хэлний унших бичих дадал 1,7.0,7.5,5.75,6.0,2.0,0.5,0.75,2.25,0.0,31.75,3.8976377952755907,1
56,Ази судлалын тэнхим,Дунд шатны япон хэлний унших бичих дадал 2,4.25,7.25,5.25,4.0,1.75,0.5,1.5,1.25,0.25,26.0,3.878640776699029,1
57,Ази судлалын тэнхим,Дунд шатны япон хэлний хэл зүй 1,0.0,4.0,3.5,1.5,3.5,1.5,3.0,1.5,0.0,18.5,3.189189189189189,2
58,Ази судлалын тэнхим,Дунд шатны япон хэлний хэл зүй 2,1.0,2.25,8.0,1.5,4.25,1.25,4.0,2.5,0.0,24.75,3.1818181818181817,2
59,Ази судлалын тэнхим,Дунд шатны япон хэлний хэлзүй 1,3.0,4.0,5.5,8.5,4.5,11.0,4.5,2.5,1.0,44.5,3.17816091954023,2
60,Ази судлалын тэнхим,Дунд шатны япон хэлний хэлзүй 2,2.0,2.5,3.5,4.5,3.5,4.5,13.5,0.0,3.5,37.5,3.036764705882353,2
61,Ази судлалын тэнхим,Дунд шатны япон хэлний ярих сонсох дадал 1,8.333333333333334,2.6666666666666665,4.0,3.3333333333333335,1.3333333333333333,3.1666666666666665,4.833333333333333,2.6666666666666665,1.8333333333333333,32.166666666666664,3.541208791208792,1
62,Ази судлалын тэнхим,Дунд шатны япон хэлний ярих сонсох дадал 2,4.0,4.25,3.0,4.0,4.0,1.25,2.75,3.0,0.0,26.25,3.380952380952381,2
63,Ази судлалын тэнхим,Дэлхийн соёл иргэншил (Ерөнхий суурь),9.8,24.3,15.7,28.7,7.0,6.5,7.8,11.2,6.3,117.3,3.5310810810810813,1
64,Ази судлалын тэнхим,Дээд шатны солонгос хэлний унших бичих,4.5,6.0,4.0,4.5,0.5,2.5,2.5,2.0,0.0,26.5,3.6226415094339623,1
65,Ази судлалын тэнхим,Дээд шатны солонгос хэлний унших бичих дадал,6.5,1.5,2.5,0.0,1.5,0.5,3.5,11.0,0.0,27.0,2.7037037037037037,2
66,Ази судлалын тэнхим,Дээд шатны солонгос хэлний ханз,3.75,3.25,2.75,1.75,2.25,1.5,4.75,1.25,0.5,21.75,3.4,1
67,Ази судлалын тэнхим,Дээд шатны солонгос хэлний хэл зүй,5.5,3.5,0.5,1.0,1.5,0.0,6.5,5.5,0.0,24.0,2.9895833333333335,2
68,Ази судлалын тэнхим,Дээд шатны солонгос хэлний хэл зүйн дүрэм,1.5,3.5,3.0,4.0,4.5,7.0,1.5,1.0,2.5,28.5,3.3365384615384617,2
69,Ази судлалын тэнхим,Дээд шатны солонгос хэлний ярих сонсох,4.5,5.0,2.5,3.0,2.0,1.0,3.0,0.5,0.5,22.0,3.7674418604651163,1
70,Ази судлалын тэнхим,Дээд шатны солонгос хэлний ярих сонсох дадал,6.0,5.5,1.5,1.5,1.5,1.0,2.0,2.0,0.0,21.0,3.761904761904762,1
71,Ази судлалын тэнхим,Дээд шатны хятад хэлний бичгийн хэл ,10.714285714285714,6.428571428571429,3.857142857142857,2.7142857142857144,0.8571428571428571,2.0,4.714285714285714,0.5714285714285714,1.1428571428571428,33.0,3.9596412556053804,1
72,Ази судлалын тэнхим,Дээд шатны хятад хэлний унших дадал  ,9.166666666666666,10.666666666666666,8.166666666666666,4.333333333333333,0.8333333333333334,1.1666666666666667,2.8333333333333335,0.6666666666666666,0.3333333333333333,38.166666666666664,4.063876651982378,1
